year cost
     1990.00   3307948.30
     1990.00    972925.97
     1990.00    895091.89
     1990.00   3619284.61
     1990.00   1595598.59
     1990.00  15537627.75
     1990.00  16456069.87
     1990.00    843526.82
     1990.00  10196264.17
     1990.00  71938146.26
     1990.00   1297883.24
     1990.00   3560909.05
     1990.00   3560909.05
     1990.00   5137049.12
     1990.00   7024525.51
     1990.00   8055827.04
     1990.00   1633542.70
     1990.00  10721644.20
     1990.00  10079513.05
     1990.00   4514376.50
     1990.00  12181033.15
     1990.00   9631967.11
     1990.00   4327574.72
     1990.00  10604893.08
     1990.00   2820512.39
     1990.00   3292381.48
     1990.00   9631967.11
     1990.00   9647533.92
     1990.00   3444157.94
     1990.00   5896904.31
     1990.00   4961922.45
     1990.00  28808337.99
     1990.00   1751266.75
     1990.00  23214013.66
     1990.00   4125206.11
     1990.00   7647198.13
     1990.00  46058315.44
     1990.00  46058315.44
     1990.00   1420471.92
     1990.00   3292381.48
     1990.00   9184421.16
     1990.00   4203040.19
     1990.00    875633.37
     1990.00  21326537.27
     1990.00  20801157.25
     1990.00  12109036.63
     1990.00  23700476.64
     1990.00  16146679.41
     1990.00  12599391.32
     1990.00   1506089.40
     1990.00  22357838.80
     1990.00  23204284.40
     1990.00   4241957.23
     1990.00    389170.39
     1990.00    583755.58
     1990.00   7619956.20
     1990.00   3619284.61
     1990.00   8362298.72
     1990.00   8464455.94
     1990.00   9654344.41
     1990.00  10935687.91
     1990.00   2335022.33
     1990.00   2335022.33
     1990.00   5561244.85
     1990.00   3969537.96
     1990.00  15372230.33
     1990.00  16773243.73
     1990.00  10091188.17
     1990.00  16286780.75
     1990.00  10799478.27
     1990.00  10598082.60
     1990.00   4827658.67
     1990.00  15313854.78
     1990.00  16247863.71
     1990.00  56770230.38
     1990.00   2763109.76
     1990.00   5915389.90
     1990.00   7647198.13
     1990.00  12161574.63
     1990.00   7394237.38
     1990.00   1257020.35
     1990.00   1362096.36
     1990.00   1362096.36
     1990.00   5743182.00
     1990.00   5743182.00
     1990.00   2549066.04
     1990.00   3823599.06
     1990.00   5098132.09
     1990.00   7647198.13
     1990.00  74370461.19
     1990.00  84994812.78
     1990.00   6343477.33
     1990.00   8055827.04
     1990.00   2685275.68
     1990.00   5720804.71
     1990.00  17440670.95
     1990.00  51759661.63
     1990.00   6010347.48
     1990.00  11519443.49
     1990.00  26191167.13
     1990.00  14739828.45
     1990.00  14739828.45
     1990.00  15226291.44
     1990.00   7863187.69
     1990.00  12949644.67
     1990.00   6713189.20
     1990.00   5000839.49
     1990.00  15751671.46
     1990.00  15751671.46
     1990.00    681048.18
     1990.00   8688228.92
     1990.00   4961922.45
     1990.00   6304560.29
     1990.00  39424906.18
     1990.00   6421311.41
     1990.00  88516804.80
     1990.00   6518604.00
     1990.00  11217836.44
     1990.00  14619185.63
     1990.00  11324858.30
     1990.00   3401349.19
     1990.00  21365454.31
     1990.00  64857191.05
     1990.00   1790183.79
     1990.00   6071058.06
     1990.00    249555.51
     1990.00    249555.51
     1990.00   4171906.56
     1990.00  27708931.64
     1990.00    389170.39
     1990.00   3181467.92
     1990.00   5749992.49
     1990.00  10507600.48
     1990.00  11616736.09
     1990.00    875633.37
     1990.00    875633.37
     1990.00  18561481.67
     1990.00  26191167.13
     1990.00  11519443.49
     1990.00   8639582.62
     1990.00  18824171.68
     1990.00   3736035.73
     1990.00  21793541.74
     1990.00   6499145.48
     1990.00   3123092.37
     1990.00   2529607.52
     1990.00    972925.97
     1990.00  18485593.44
     1990.00  44501633.89
     1990.00  44501633.89
     1990.00  51292657.17
     1990.00  14749557.71
     1990.00  10124267.65
     1990.00   6104137.54
     1990.00   3521992.01
     1990.00   4417083.91
     1990.00   8464455.94
     1990.00  10943471.32
     1990.00  18125610.83
     1990.00  40006715.91
     1990.00   6460228.44
     1990.00   2996611.99
     1990.00  33176775.59
     1990.00    819203.67
     1990.00  12161574.63
     1990.00    906767.00
     1990.00    583755.58
     1990.00   3038447.81
     1990.00   6829940.31
     1990.00   9534674.51
     1990.00  23661559.60
     1990.00  12511827.98
     1990.00  35570173.48
     1990.00  35570173.48
     1990.00  13095583.56
     1990.00  22046502.49
     1990.00  21851917.30
     1990.00    642131.14
     1990.00   2587983.08
     1990.00   8542290.02
     1990.00  43517032.81
     1990.00  43517032.81
     1990.00  13426378.39
     1990.00  20217401.67
     1990.00   3269031.26
     1990.00   9846010.82
     1990.00  14049051.01
     1990.00  23904791.10
     1990.00  79196174.00
     1990.00   8806925.89
     1991.00 105434528.27
     1991.00   9229064.36
     1991.00   9322045.46
     1991.00 105434528.27
     1991.00  10185112.58
     1991.00   6751102.78
     1991.00    257155.64
     1991.00   5178402.70
     1991.00  24831016.31
     1991.00  14981310.80
     1991.00   6428891.05
